date,close,volume,open,high,low,nextClose,,move 7 Day,move 30 Day
3/9/06,9.1329,199738.06,9.4257,9.4957,9.1157,9.0271,2519,0,0
3/10/06,9.0271,260737.338,9.15,9.2129,8.9214,9.3829,2518,0,0
3/13/06,9.3829,215266.305,9.2929,9.4686,9.2557,9.6171,2517,0,0
3/14/06,9.6171,160478.058,9.3957,9.6171,9.3571,9.4614,2516,0,0
3/15/06,9.4614,222970.857,9.6729,9.72,9.36,9.1871,2515,0,0
3/16/06,9.1871,187254.116,9.55,9.5571,9.1857,9.2371,2514,0,0
3/17/06,9.2371,202976.541,9.25,9.3629,9.1586,9.1414,2513,0,0
3/20/06,9.1414,151314.775,9.3171,9.3514,9.1243,8.83,2512,0.0085,0
3/21/06,8.83,335827.761,9.1843,9.1914,8.77,8.81,2511,-0.1971,0
3/22/06,8.81,336420.381,8.8793,9.0357,8.7529,8.5943,2510,-0.5729,0
3/23/06,8.5943,356580.807,8.8314,8.8429,8.5157,8.5657,2509,-1.0228,0
3/24/06,8.5657,267969.46,8.6071,8.7057,8.4329,8.5014,2508,-0.8957,0
3/27/06,8.5014,276995.473,8.6193,8.7686,8.4857,8.3871,2507,-0.6857,0
3/28/06,8.3871,342537.333,8.5186,8.5914,8.3214,8.9043,2506,-0.85,0
3/29/06,8.9043,586593.036,8.4557,8.9314,8.2386,8.9643,2505,-0.2371,0
3/30/06,8.9643,347640.264,8.98,9.0429,8.79,8.96,2504,0.1343,0
3/31/06,8.96,203789.801,9.0357,9.0871,8.8914,8.95,2503,0.15,0
4/3/06,8.95,203934.491,9.0929,9.16,8.9443,8.7386,2502,0.3557,0
4/4/06,8.7386,232966.23,8.8714,8.8886,8.7214,9.6014,2501,0.1729,0
4/5/06,9.6014,558061.447,9.245,9.6014,9.1643,10.1771,2500,1.1,0
4/6/06,10.1771,664855.719,9.7564,10.2929,9.7429,9.97,2499,1.79,0
4/7/06,9.97,386281.116,10.1329,10.1729,9.7814,9.81,2498,1.0657,0
4/10/06,9.81,225841.208,10.0414,10.1329,9.7786,9.7129,2497,0.8457,0
4/11/06,9.7129,234791.62,9.8557,9.9,9.5814,9.53,2496,0.7529,0
4/12/06,9.53,184886.225,9.7157,9.7391,9.4714,9.4956,2495,0.58,0
4/13/06,9.4956,183657.375,9.4771,9.6343,9.4014,9.2587,2494,0.757,0
4/17/06,9.2587,180369.404,9.5014,9.5486,9.1929,9.46,2493,-0.3427,0
4/18/06,9.46,198475.82,9.2921,9.4962,9.2557,9.3786,2492,-0.7171,0
4/19/06,9.3786,268087.55,9.5457,9.5714,9.3529,9.6614,2491,-0.5914,0
4/20/06,9.6614,416628.435,9.93,10,9.4571,9.5771,2490,-0.1486,0
4/21/06,9.5771,197224.359,9.7414,9.8057,9.4957,9.3929,2489,-0.1358,0.4442
4/24/06,9.3929,176720.723,9.55,9.56,9.3571,9.4529,2488,-0.1371,0.3658
4/25/06,9.4529,132130.5,9.4229,9.5129,9.3657,9.7357,2487,-0.0427,0.07
4/26/06,9.7357,177696.873,9.5214,9.7543,9.4857,9.9086,2486,0.477,0.1186
4/27/06,9.9086,211462.573,9.6757,9.98,9.6214,10.0557,2485,0.4486,0.4472
4/28/06,10.0557,189743.037,9.9107,10.1857,9.8857,9.9429,2484,0.6771,0.8686
5/1/06,9.9429,187537.266,10.11,10.22,9.88,10.2314,2483,0.2815,0.7058
5/2/06,10.2314,192753.668,10.0214,10.2829,10.0157,10.1629,2482,0.6543,1.09
5/3/06,10.1629,171689.472,10.2614,10.2786,10.0257,10.1614,2481,0.77,1.3329
5/4/06,10.1614,215091.865,10.1743,10.4129,10.0657,10.27,2480,0.7085,1.3514
5/5/06,10.27,140725.592,10.2657,10.3214,10.1643,10.27,2479,0.5343,1.6757
5/8/06,10.27,148675.215,10.4271,10.5429,10.2457,10.1471,2478,0.3614,1.7043
5/9/06,10.1471,132873.97,10.2607,10.3657,10.0886,10.0857,2477,0.0914,1.6457
5/10/06,10.0857,114970.764,10.1843,10.19,9.9443,9.7357,2476,0.1428,1.6986
5/11/06,9.7357,202575.161,10.1136,10.12,9.65,9.6714,2475,-0.4957,0.8314
5/12/06,9.6714,160441.028,9.6929,9.8129,9.5514,9.6843,2474,-0.4915,0.7071
5/15/06,9.6843,132231.79,9.6243,9.7686,9.5886,9.2829,2473,-0.4771,0.7243
5/16/06,9.2829,234155.39,9.7286,9.75,9.25,9.3229,2472,-0.9871,0.3329
5/17/06,9.3229,185072.986,9.2436,9.3857,9.1529,9.0257,2471,-0.9471,0.5843
5/18/06,9.0257,164548.209,9.3829,9.4657,9.0171,9.2157,2470,-1.1214,-0.5757
5/19/06,9.2157,246452.084,9.0371,9.2686,8.9743,9.0543,2469,-0.87,-0.9614
5/22/06,9.0543,179584.844,9.1243,9.1414,8.9671,9.0214,2468,-0.6814,-0.9157
5/23/06,9.0214,173584.722,9.2657,9.3129,9,9.0486,2467,-0.65,-0.7886
5/24/06,9.0486,228999.889,8.9986,9.0929,8.7943,9.19,2466,-0.6357,-0.6643
5/25/06,9.19,115840.165,9.18,9.2071,9.0414,9.0784,2465,-0.0929,-0.34
5/26/06,9.0784,108228.572,9.1871,9.2229,9.02,8.7457,2464,-0.2445,-0.4172
5/30/06,8.7457,140738.892,9.0414,9.0429,8.7455,8.5386,2463,-0.28,-0.513
5/31/06,8.5386,320151.816,8.8221,8.8271,8.3843,8.8814,2462,-0.6771,-0.9214
6/1/06,8.8814,235607.401,8.5521,8.8971,8.5029,8.8086,2461,-0.1729,-0.4972
6/2/06,8.8086,171418.921,8.9986,9.0143,8.6971,8.5714,2460,-0.2128,-0.8528
6/5/06,8.5714,151409.345,8.7357,8.7357,8.5671,8.5319,2459,-0.4772,-1.0057
6/6/06,8.5319,181508.724,8.6029,8.6614,8.4157,8.3664,2458,-0.6581,-0.861
6/7/06,8.3664,187305.426,8.5857,8.6286,8.3357,8.68,2457,-0.712,-1.0865
6/8/06,8.68,349230.945,8.3529,8.7043,8.1643,8.4629,2456,-0.0657,-1.0557
6/9/06,8.4629,193946.818,8.74,8.7943,8.4429,8.1429,2455,-0.0757,-1.4457
6/12/06,8.1429,179374.004,8.4843,8.5329,8.1371,8.3329,2454,-0.7385,-1.9128
6/13/06,8.3329,269905.381,8.23,8.4429,8.1943,8.23,2453,-0.4757,-1.61
6/14/06,8.23,219448.456,8.3257,8.3971,8.0986,8.4829,2452,-0.3414,-2.0014
6/15/06,8.4829,297189.989,8.1857,8.5343,8.1071,8.2229,2451,-0.049,-1.68
6/16/06,8.2229,209472.123,8.4221,8.4557,8.2171,8.1714,2450,-0.1435,-1.9385
6/19/06,8.1714,171160.061,8.2614,8.3114,8.1429,8.21,2449,-0.5086,-2.0986
6/20/06,8.21,167923.12,8.23,8.3357,8.1843,8.2657,2448,-0.2529,-2.06
6/21/06,8.2657,215762.465,8.2486,8.3871,8.1857,8.5114,2447,0.1228,-1.8814
6/22/06,8.5114,241510.992,8.3143,8.5357,8.2957,8.4043,2446,0.1785,-1.5743
6/23/06,8.4043,164969.189,8.5314,8.5957,8.39,8.4271,2445,0.1743,-1.3314
6/26/06,8.4271,116565.575,8.4529,8.4571,8.3386,8.2043,2444,-0.0558,-1.2443
6/27/06,8.2043,137143.621,8.4457,8.46,8.2,8.0029,2443,-0.0186,-1.48
6/28/06,8.0029,212601.964,8.1843,8.1857,7.9157,8.4243,2442,-0.1685,-1.28
6/29/06,8.4243,217331.095,8.1086,8.4414,8.0557,8.1814,2441,0.2143,-0.8986
6/30/06,8.1814,183542.925,8.23,8.25,8.0714,8.2786,2440,-0.0843,-0.8443
7/3/06,8.2786,48693.198,8.2171,8.3114,8.1914,8.1431,2439,-0.2328,-0.9371
7/5/06,8.1431,129431.299,8.1643,8.2286,8.08,7.9671,2438,-0.2612,-0.9112
7/6/06,7.9671,158267.037,8.1557,8.2,7.9443,7.9143,2437,-0.46,-1.0543
7/7/06,7.9143,199748.21,8.0671,8.0786,7.81,7.8571,2436,-0.29,-1.1343
7/10/06,7.8571,132296.89,7.9571,8.07,7.7857,7.95,2435,-0.1458,-1.3329
7/11/06,7.95,206230.002,7.8729,7.9986,7.79,7.5657,2434,-0.4743,-1.1284
7/12/06,7.5657,231622.159,7.8814,7.8914,7.5597,7.4643,2433,-0.6157,-1.18
7/13/06,7.4643,312422.064,7.4329,7.7314,7.3443,7.2386,2432,-0.8143,-1.0743
7/14/06,7.2386,248133.624,7.5107,7.5557,7.1657,7.4814,2431,-0.9045,-1.6428
7/17/06,7.4814,256110.477,7.3879,7.5871,7.3786,7.5571,2430,-0.4857,-1.3272
7/18/06,7.5571,250077.735,7.5936,7.6929,7.4071,7.7286,2429,-0.3572,-1.0143
7/19/06,7.7286,344200.113,7.5657,7.8686,7.48,8.6429,2428,-0.1285,-0.8033
7/20/06,8.6429,492571.808,8.7121,8.7986,8.5314,8.6743,2427,0.6929,0.2765
7/21/06,8.6743,222961.687,8.5457,8.7357,8.52,8.7743,2426,1.1086,-0.0057
7/24/06,8.7743,179863.514,8.7514,8.8714,8.6329,8.8469,2425,1.31,0.3114
